,index,topic_idx
477,46131,2
478,46132,4
479,46133,0
480,46134,5
481,46135,2
482,46136,2
483,46137,6
484,46138,6
485,46139,0
486,46140,4
487,46141,6
488,46142,2
489,46143,5
490,46144,4
491,46145,6
492,46146,2
493,46147,3
494,46148,2
495,46149,0
496,46150,6
497,46151,4
498,46152,6
499,46153,6
500,46154,4
501,46155,0
502,46156,5
503,46157,5
504,46158,3
505,46159,2
506,46160,0
507,46161,2
508,46162,0
509,46163,2
510,46164,1
511,46165,2
512,46166,3
513,46167,3
514,46168,6
515,46169,2
516,46170,1
517,46171,2
518,46172,6
519,46173,1
520,46174,4
521,46175,1
522,46176,1
523,46177,0
524,46178,6
525,46179,5
526,46180,2
527,46181,6
528,46182,2
529,46183,3
530,46184,2
531,46185,1
532,46186,1
533,46187,5
534,46188,1
535,46189,6
536,46190,0
537,46191,3
538,46192,6
539,46193,3
540,46194,2
541,46195,6
542,46196,6
543,46197,3
544,46198,4
545,46199,0
546,46200,3
547,46201,5
548,46202,2
549,46203,5
550,46204,6
551,46205,5
552,46206,1
553,46207,6
554,46208,1
555,46209,4
556,46210,6
557,46211,5
558,46212,2
559,46213,5
560,46214,1
561,46215,6
562,46216,3
563,46217,5
564,46218,0
565,46219,5
566,46220,5
567,46221,4
568,46222,0
569,46223,3
570,46224,4
571,46225,3
572,46226,6
573,46227,6
574,46228,1
575,46229,1
576,46230,2
577,46231,5
578,46232,4
579,46233,1
580,46234,4
581,46235,5
582,46236,3
583,46237,2
584,46238,4
585,46239,1
586,46240,6
587,46241,4
588,46242,5
589,46243,0
590,46244,5
591,46245,1
592,46246,4
593,46247,2
594,46248,6
595,46249,1
596,46250,0
597,46251,6
598,46252,4
599,46253,6
600,46254,0
601,46255,2
602,46256,5
603,46257,0
604,46258,4
605,46259,4
606,46260,4
607,46261,0
608,46262,3
609,46263,4
610,46264,3
611,46265,5
612,46266,0
613,46267,3
614,46268,6
615,46269,1
616,46270,1
617,46271,1
618,46272,1
619,46273,4
620,46274,6
621,46275,5
622,46276,6
623,46277,4
624,46278,1
625,46279,3
626,46280,4
627,46281,5
628,46282,3
629,46283,2
630,46284,0
631,46285,4
632,46286,6
633,46287,4
634,46288,3
635,46289,5
636,46290,0
637,46291,6
638,46292,2
639,46293,3
640,46294,6
641,46295,3
642,46296,6
643,46297,6
644,46298,4
645,46299,1
646,46300,2
647,46301,2
648,46302,1
649,46303,1
650,46304,4
651,46305,4
652,46306,1
653,46307,3
654,46308,4
655,46309,6
656,46310,1
657,46311,5
658,46312,4
659,46313,1
660,46314,4
661,46315,3
662,46316,3
663,46317,1
664,46318,3
665,46319,2
666,46320,0
667,46321,3
668,46322,3
669,46323,1
670,46324,0
671,46325,4
672,46326,3
673,46327,1
674,46328,6
675,46329,4
676,46330,3
677,46331,5
678,46332,3
679,46333,5
680,46334,0
681,46335,0
682,46336,5
683,46337,6
684,46338,6
685,46339,1
686,46340,4
687,46341,3
688,46342,1
689,46343,5
690,46344,4
691,46345,4
692,46346,5
693,46347,3
694,46348,0
695,46349,0
696,46350,6
697,46351,0
698,46352,5
699,46353,2
700,46354,3
701,46355,6
702,46356,5
703,46357,6
704,46358,6
705,46359,0
706,46360,0
707,46361,2
708,46362,4
709,46363,0
710,46364,1
711,46365,3
712,46366,3
713,46367,1
714,46368,3
715,46369,1
716,46370,3
717,46371,5
718,46372,5
719,46373,3
720,46374,6
721,46375,3
722,46376,4
723,46377,4
724,46378,1
725,46379,0
726,46380,6
727,46381,4
728,46382,3
729,46383,6
730,46384,4
731,46385,6
732,46386,6
733,46387,5
734,46388,2
735,46389,5
736,46390,0
737,46391,5
738,46392,6
739,46393,2
740,46394,1
741,46395,1
742,46396,6
743,46397,5
744,46398,5
745,46399,6
746,46400,6
747,46401,6
748,46402,0
749,46403,3
750,46404,3
751,46405,1
752,46406,2
753,46407,5
754,46408,5
755,46409,6
756,46410,6
757,46411,6
758,46412,5
759,46413,0
760,46414,4
761,46415,5
762,46416,0
763,46417,0
764,46418,2
765,46419,6
766,46420,4
767,46421,3
768,46422,1
769,46423,6
770,46424,2
771,46425,4
772,46426,4
773,46427,5
774,46428,6
775,46429,1
776,46430,3
777,46431,6
778,46432,1
779,46433,2
780,46434,4
781,46435,0
782,46436,6
783,46437,3
784,46438,3
785,46439,5
786,46440,5
787,46441,2
788,46442,4
789,46443,0
790,46444,0
791,46445,2
792,46446,1
793,46447,4
794,46448,2
795,46449,6
796,46450,2
797,46451,4
798,46452,5
799,46453,2
800,46454,1
801,46455,5
802,46456,4
803,46457,3
804,46458,6
805,46459,4
806,46460,1
807,46461,2
808,46462,5
809,46463,5
810,46464,5
811,46465,0
812,46466,3
813,46467,3
814,46468,2
815,46469,6
816,46470,3
817,46471,4
818,46472,3
819,46473,3
820,46474,0
821,46475,3
822,46476,3
823,46477,0
824,46478,3
825,46479,6
826,46480,0
827,46481,4
828,46482,2
829,46483,3
830,46484,5
831,46485,0
832,46486,5
833,46487,5
834,46488,2
835,46489,4
836,46490,6
837,46491,3
838,46492,0
839,46493,4
840,46494,2
841,46495,4
842,46496,1
843,46497,3
844,46498,5
845,46499,2
846,46500,5
847,46501,0
848,46502,6
849,46503,4
850,46504,6
851,46505,6
852,46506,2
853,46507,3
854,46508,4
855,46509,0
856,46510,2
857,46511,3
858,46512,1
859,46513,1
860,46514,1
861,46515,3
862,46516,0
863,46517,3
864,46518,1
865,46519,1
866,46520,4
867,46521,1
868,46522,1
869,46523,2
870,46524,3
871,46525,4
872,46526,0
873,46527,0
874,46528,4
875,46529,6
876,46530,3
877,46531,4
878,46532,3
879,46533,0
880,46534,3
881,46535,5
882,46536,3
883,46537,0
884,46538,6
885,46539,3
886,46540,0
887,46541,4
888,46542,1
889,46543,2
890,46544,3
891,46545,0
892,46546,2
893,46547,6
894,46548,1
895,46549,6
896,46550,0
897,46551,5
898,46552,4
899,46553,1
900,46554,0
901,46555,4
902,46556,4
903,46557,6
904,46558,5
905,46559,5
906,46560,1
907,46561,3
908,46562,6
909,46563,3
910,46564,3
911,46565,5
912,46566,0
913,46567,4
914,46568,6
915,46569,1
916,46570,4
917,46571,3
918,46572,0
919,46573,2
920,46574,1
921,46575,1
922,46576,2
923,46577,6
924,46578,0
925,46579,0
926,46580,3
927,46581,3
928,46582,5
929,46583,5
930,46584,6
931,46585,5
932,46586,6
933,46587,5
934,46588,4
935,46589,3
936,46590,4
937,46591,1
938,46592,0
939,46593,4
940,46594,6
941,46595,4
942,46596,4
943,46597,1
944,46598,2
945,46599,2
946,46600,1
947,46601,6
948,46602,3
949,46603,6
950,46604,0
951,46605,2
952,46606,6
953,46607,3
954,46608,4
955,46609,2
956,46610,2
957,46611,3
958,46612,1
959,46613,0
960,46614,6
961,46615,6
962,46616,5
963,46617,3
964,46618,0
965,46619,5
966,46620,1
967,46621,2
968,46622,6
969,46623,3
970,46624,4
971,46625,6
972,46626,5
973,46627,5
974,46628,6
975,46629,6
976,46630,6
977,46631,5
978,46632,6
979,46633,3
980,46634,6
981,46635,0
982,46636,4
983,46637,4
984,46638,2
985,46639,4
986,46640,0
987,46641,1
988,46642,2
989,46643,5
990,46644,1
991,46645,0
992,46646,2
993,46647,3
994,46648,4
995,46649,2
996,46650,1
997,46651,5
998,46652,3
999,46653,0
1000,46654,3
1001,46655,1
1002,46656,0
1003,46657,6
1004,46658,2
1005,46659,6
1006,46660,3
1007,46661,5
1008,46662,5
1009,46663,5
1010,46664,0
1011,46665,2
1012,46666,5
1013,46667,4
1014,46668,4
1015,46669,2
1016,46670,0
1017,46671,5
1018,46672,3
1019,46673,3
1020,46674,5
1021,46675,0
1022,46676,6
1023,46677,3
1024,46678,3
1025,46679,4
1026,46680,6
1027,46681,1
1028,46682,6
1029,46683,2
1030,46684,5
1031,46685,4
1032,46686,5
1033,46687,0
1034,46688,2
1035,46689,0
1036,46690,6
1037,46691,6
1038,46692,3
1039,46693,2
1040,46694,0
1041,46695,0
1042,46696,6
1043,46697,4
1044,46698,4
1045,46699,3
1046,46700,5
1047,46701,4
1048,46702,4
1049,46703,6
1050,46704,3
1051,46705,5
1052,46706,6
1053,46707,4
1054,46708,5
1055,46709,2
1056,46710,1
1057,46711,5
1058,46712,5
1059,46713,6
1060,46714,2
1061,46715,5
1062,46716,2
1063,46717,4
1064,46718,6
1065,46719,6
1066,46720,3
1067,46721,3
1068,46722,1
1069,46723,5
1070,46724,5
1071,46725,1
1072,46726,2
1073,46727,1
1074,46728,6
1075,46729,1
1076,46730,3
1077,46731,1
1078,46732,5
1079,46733,4
1080,46734,4
1081,46735,4
1082,46736,4
1083,46737,0
1084,46738,2
1085,46739,3
1086,46740,2
1087,46741,1
1088,46742,6
1089,46743,0
1090,46744,3
1091,46745,4
1092,46746,2
1093,46747,4
1094,46748,1
1095,46749,2
1096,46750,6
1097,46751,6
1098,46752,3
1099,46753,4
1100,46754,3
1101,46755,3
1102,46756,4
1103,46757,3
1104,46758,6
1105,46759,1
1106,46760,3
1107,46761,5
1108,46762,6
1109,46763,4
1110,46764,5
1111,46765,2
1112,46766,0
1113,46767,2
1114,46768,5
1115,46769,5
1116,46770,4
1117,46771,1
1118,46772,6
1119,46773,2
1120,46774,6
1121,46775,5
1122,46776,5
1123,46777,6
1124,46778,4
1125,46779,3
1126,46780,6
1127,46781,4
1128,46782,4
1129,46783,4
1130,46784,5
1131,46785,0
1132,46786,2
1133,46787,3
1134,46788,4
1135,46789,4
1136,46790,0
1137,46791,2
1138,46792,4
1139,46793,5
1140,46794,4
1141,46795,1
1142,46796,6
1143,46797,6
1144,46798,4
1145,46799,4
1146,46800,4
1147,46801,0
1148,46802,1
1149,46803,4
1150,46804,3
1151,46805,2
1152,46806,6
1153,46807,2
1154,46808,5
1155,46809,0
1156,46810,2
1157,46811,1
1158,46812,3
1159,46813,5
1160,46814,6
1161,46815,4
1162,46816,5
1163,46817,2
1164,46818,4
1165,46819,1
1166,46820,2
1167,46821,3
1168,46822,1
1169,46823,2
1170,46824,2
1171,46825,3
1172,46826,4
1173,46827,4
1174,46828,4
1175,46829,2
1176,46830,5
1177,46831,0
1178,46832,5
1179,46833,0
1180,46834,6
1181,46835,6
1182,46836,4
1183,46837,0
1184,46838,3
1185,46839,5
1186,46840,2
1187,46841,5
1188,46842,6
1189,46843,4
1190,46844,5
1191,46845,3
1192,46846,3
1193,46847,6
1194,46848,1
1195,46849,4
1196,46850,6
1197,46851,1
1198,46852,1
1199,46853,6
1200,46854,5
1201,46855,4
1202,46856,3
1203,46857,6
1204,46858,2
1205,46859,2
1206,46860,3
1207,46861,1
1208,46862,6
1209,46863,4
1210,46864,1
1211,46865,5
1212,46866,2
1213,46867,3
1214,46868,6
1215,46869,5
1216,46870,1
1217,46871,5
1218,46872,6
1219,46873,4
1220,46874,0
1221,46875,6
1222,46876,2
1223,46877,3
1224,46878,5
1225,46879,3
1226,46880,4
1227,46881,4
1228,46882,1
1229,46883,4
1230,46884,3
1231,46885,3
1232,46886,3
1233,46887,6
1234,46888,1
1235,46889,6
1236,46890,2
1237,46891,5
1238,46892,3
1239,46893,2
1240,46894,3
1241,46895,3
1242,46896,2
1243,46897,2
1244,46898,4
1245,46899,5
1246,46900,5
1247,46901,2
1248,46902,6
1249,46903,0
1250,46904,2
1251,46905,1
1252,46906,1
1253,46907,3
1254,46908,1
1255,46909,3
1256,46910,6
1257,46911,6
1258,46912,6
1259,46913,4
1260,46914,5
1261,46915,4
1262,46916,2
1263,46917,3
1264,46918,5
1265,46919,5
1266,46920,4
1267,46921,1
1268,46922,1
1269,46923,1
1270,46924,3
1271,46925,5
1272,46926,3
1273,46927,0
1274,46928,2
1275,46929,1
1276,46930,3
1277,46931,4
1278,46932,0
1279,46933,3
1280,46934,2
1281,46935,3
1282,46936,5
1283,46937,0
1284,46938,4
1285,46939,0
1286,46940,4
1287,46941,5
1288,46942,3
1289,46943,5
1290,46944,6
1291,46945,4
1292,46946,1
1293,46947,4
1294,46948,3
1295,46949,2
1296,46950,1
1297,46951,3
1298,46952,4
1299,46953,4
1300,46954,6
1301,46955,0
1302,46956,1
1303,46957,1
1304,46958,4
1305,46959,0
1306,46960,5
1307,46961,5
1308,46962,3
1309,46963,5
1310,46964,3
1311,46965,3
1312,46966,4
1313,46967,0
1314,46968,4
1315,46969,4
1316,46970,5
1317,46971,3
1318,46972,0
1319,46973,3
1320,46974,1
1321,46975,2
1322,46976,2
1323,46977,4
1324,46978,4
1325,46979,1
1326,46980,2
1327,46981,5
1328,46982,1
1329,46983,5
1330,46984,5
1331,46985,2
1332,46986,4
1333,46987,3
1334,46988,1
1335,46989,2
1336,46990,3
1337,46991,3
1338,46992,3
1339,46993,6
1340,46994,6
1341,46995,0
1342,46996,5
1343,46997,6
1344,46998,4
1345,46999,6
1346,47000,4
1347,47001,4
1348,47002,4
1349,47003,2
1350,47004,1
1351,47005,4
1352,47006,3
1353,47007,0
1354,47008,5
1355,47009,0
1356,47010,3
1357,47011,3
1358,47012,5
1359,47013,0
1360,47014,4
1361,47015,4
1362,47016,0
1363,47017,0
1364,47018,1
1365,47019,3
1366,47020,4
1367,47021,0
1368,47022,0
1369,47023,6
1370,47024,0
1371,47025,4
1372,47026,0
1373,47027,5
1374,47028,3
1375,47029,1
1376,47030,4
1377,47031,2
1378,47032,0
1379,47033,6
1380,47034,6
1381,47035,1
1382,47036,5
1383,47037,2
1384,47038,6
1385,47039,1
1386,47040,0
1387,47041,0
1388,47042,1
1389,47043,5
1390,47044,0
1391,47045,5
1392,47046,3
1393,47047,3
1394,47048,5
1395,47049,0
1396,47050,1
1397,47051,4
1398,47052,3
1399,47053,3
1400,47054,6
1401,47055,5
1402,47056,3
1403,47057,3
1404,47058,4
1405,47059,1
1406,47060,4
1407,47061,0
1408,47062,4
1409,47063,0
1410,47064,2
1411,47065,4
1412,47066,0
1413,47067,4
1414,47068,6
1415,47069,0
1416,47070,4
1417,47071,0
1418,47072,6
1419,47073,1
1420,47074,6
1421,47075,4
1422,47076,5
1423,47077,6
1424,47078,6
1425,47079,4
1426,47080,4
1427,47081,3
1428,47082,6
1429,47083,0
1430,47084,5
1431,47085,0
1432,47086,6
1433,47087,5
1434,47088,3
1435,47089,4
1436,47090,4
1437,47091,6
1438,47092,1
1439,47093,3
1440,47094,3
1441,47095,3
1442,47096,2
1443,47097,2
1444,47098,5
1445,47099,0
1446,47100,1
1447,47101,1
1448,47102,1
1449,47103,4
1450,47104,1
1451,47105,1
1452,47106,4
1453,47107,4
1454,47108,0
1455,47109,3
1456,47110,3
1457,47111,6
1458,47112,4
1459,47113,3
1460,47114,5
1461,47115,6
1462,47116,2
1463,47117,2
1464,47118,0
1465,47119,0
1466,47120,6
1467,47121,3
1468,47122,3
1469,47123,4
1470,47124,5
1471,47125,2
1472,47126,6
1473,47127,4
1474,47128,4
1475,47129,2
1476,47130,4
1477,47131,4
1478,47132,1
1479,47133,4
1480,47134,6
1481,47135,5
1482,47136,3
1483,47137,1
1484,47138,6
1485,47139,1
1486,47140,0
1487,47141,1
1488,47142,5
1489,47143,4
1490,47144,4
1491,47145,1
1492,47146,4
1493,47147,2
1494,47148,2
1495,47149,5
1496,47150,3
1497,47151,3
1498,47152,1
1499,47153,4
1500,47154,4
1501,47155,6
1502,47156,1
1503,47157,1
1504,47158,0
1505,47159,1
1506,47160,3
1507,47161,0
1508,47162,6
1509,47163,4
1510,47164,0
1511,47165,3
1512,47166,5
1513,47167,3
1514,47168,3
1515,47169,3
1516,47170,1
1517,47171,6
1518,47172,4
1519,47173,0
1520,47174,3
1521,47175,2
1522,47176,3
1523,47177,5
1524,47178,2
1525,47179,3
1526,47180,2
1527,47181,3
1528,47182,6
1529,47183,3
1530,47184,4
1531,47185,2
1532,47186,6
1533,47187,3
1534,47188,3
1535,47189,3
1536,47190,5
1537,47191,3
1538,47192,6
1539,47193,4
1540,47194,2
1541,47195,1
1542,47196,4
1543,47197,5
1544,47198,1
1545,47199,6
1546,47200,1
1547,47201,2
1548,47202,5
1549,47203,4
1550,47204,4
1551,47205,4
1552,47206,5
1553,47207,3
1554,47208,2
1555,47209,3
1556,47210,0
1557,47211,4
1558,47212,2
1559,47213,5
1560,47214,4
1561,47215,0
1562,47216,0
1563,47217,0
1564,47218,2
1565,47219,3
1566,47220,2
1567,47221,0
1568,47222,6
1569,47223,2
1570,47224,6
1571,47225,1
1572,47226,2
1573,47227,0
1574,47228,3
1575,47229,1
1576,47230,4
1577,47231,5
1578,47232,3
1579,47233,6
1580,47234,6
1581,47235,4
1582,47236,1
1583,47237,6
1584,47238,0
1585,47239,2
1586,47240,4
1587,47241,5
1588,47242,3
1589,47243,1
1590,47244,6
1591,47245,3
1592,47246,0
1593,47247,5
1594,47248,3
1595,47249,6
1596,47250,6
1597,47251,6
1598,47252,2
1599,47253,3
1600,47254,2
1601,47255,3
1602,47256,6
1603,47257,2
1604,47258,5
1605,47259,1
1606,47260,6
1607,47261,5
1608,47262,4
1609,47263,1
1610,47264,3
1611,47265,3
1612,47266,0
1613,47267,4
1614,47268,5
1615,47269,0
1616,47270,2
1617,47271,6
1618,47272,0
1619,47273,1
1620,47274,1
1621,47275,2
1622,47276,2
1623,47277,5
1624,47278,0
1625,47279,3
1626,47280,0
1627,47281,6
1628,47282,6
1629,47283,2
1630,47284,3
1631,47285,2
1632,47286,6
1633,47287,5
1634,47288,1
1635,47289,3
1636,47290,1
1637,47291,0
1638,47292,2
1639,47293,6
1640,47294,5
1641,47295,6
1642,47296,0
1643,47297,2
1644,47298,0
1645,47299,5
1646,47300,6
1647,47301,6
1648,47302,5
1649,47303,1
1650,47304,2
1651,47305,5
1652,47306,6
1653,47307,0
1654,47308,4
1655,47309,0
1656,47310,1
1657,47311,4
1658,47312,5
1659,47313,4
1660,47314,4
1661,47315,4
1662,47316,5
1663,47317,3
1664,47318,6
1665,47319,1
1666,47320,3
1667,47321,4
1668,47322,1
1669,47323,3
1670,47324,2
1671,47325,4
1672,47326,0
1673,47327,0
1674,47328,5
1675,47329,3
1676,47330,1
1677,47331,5
1678,47332,0
1679,47333,3
1680,47334,0
1681,47335,4
1682,47336,1
1683,47337,4
1684,47338,3
1685,47339,3
1686,47340,0
1687,47341,1
1688,47342,6
1689,47343,4
1690,47344,0
1691,47345,4
1692,47346,5
1693,47347,1
1694,47348,1
1695,47349,4
1696,47350,3
1697,47351,1
1698,47352,2
1699,47353,4
1700,47354,4
1701,47355,0
1702,47356,6
1703,47357,4
1704,47358,0
1705,47359,1
1706,47360,5
1707,47361,5
1708,47362,3
1709,47363,4
1710,47364,3
1711,47365,3
1712,47366,1
1713,47367,0
1714,47368,6
1715,47369,5
1716,47370,5
1717,47371,3
1718,47372,4
1719,47373,6
1720,47374,3
1721,47375,5
1722,47376,2
1723,47377,1
1724,47378,6
1725,47379,2
1726,47380,4
1727,47381,6
1728,47382,3
1729,47383,3
1730,47384,2
1731,47385,2
1732,47386,0
1733,47387,4
1734,47388,6
1735,47389,2
1736,47390,5
1737,47391,4
1738,47392,0
1739,47393,4
1740,47394,5
1741,47395,1
1742,47396,3
1743,47397,2
1744,47398,1
1745,47399,6
1746,47400,0
1747,47401,6
1748,47402,3
1749,47403,1
1750,47404,1
1751,47405,4
1752,47406,1
1753,47407,0
1754,47408,4
1755,47409,2
1756,47410,5
1757,47411,5
1758,47412,3
1759,47413,2
1760,47414,4
1761,47415,0
1762,47416,1
1763,47417,4
1764,47418,6
1765,47419,2
1766,47420,2
1767,47421,5
1768,47422,6
1769,47423,1
1770,47424,2
1771,47425,0
1772,47426,5
1773,47427,5
1774,47428,4
1775,47429,6
1776,47430,3
1777,47431,5
1778,47432,4
1779,47433,3
1780,47434,1
1781,47435,4
1782,47436,5
1783,47437,2
1784,47438,0
1785,47439,1
1786,47440,6
1787,47441,4
1788,47442,1
1789,47443,3
1790,47444,6
1791,47445,3
1792,47446,1
1793,47447,0
1794,47448,5
1795,47449,6
1796,47450,4
1797,47451,5
1798,47452,5
1799,47453,5
1800,47454,4
1801,47455,2
1802,47456,6
1803,47457,4
1804,47458,6
1805,47459,4
1806,47460,2
1807,47461,4
1808,47462,0
1809,47463,3
1810,47464,4
1811,47465,6
1812,47466,4
1813,47467,3
1814,47468,6
1815,47469,5
1816,47470,2
1817,47471,0
1818,47472,0
1819,47473,3
1820,47474,2
1821,47475,2
1822,47476,6
1823,47477,4
1824,47478,4
1825,47479,5
1826,47480,6
1827,47481,2
1828,47482,0
1829,47483,3
1830,47484,2
1831,47485,2
1832,47486,5
1833,47487,6
1834,47488,3
1835,47489,0
1836,47490,3
1837,47491,0
1838,47492,6
1839,47493,2
1840,47494,5
1841,47495,4
1842,47496,4
1843,47497,2
1844,47498,4
1845,47499,3
1846,47500,3
1847,47501,1
1848,47502,0
1849,47503,3
1850,47504,5
1851,47505,3
1852,47506,4
1853,47507,3
1854,47508,5
1855,47509,1
1856,47510,4
1857,47511,1
1858,47512,4
1859,47513,4
1860,47514,5
1861,47515,0
1862,47516,5
1863,47517,3
1864,47518,5
1865,47519,3
1866,47520,1
1867,47521,4
1868,47522,1
1869,47523,1
1870,47524,4
1871,47525,1
